cluster_id,size,pct,dominant_category,purity,num_categories
4161,3,0.0006123723713915958,Optical Disc Drives,0.3333333333333333,3
2644,3,0.0006123723713915958,Serial Cables,0.3333333333333333,3
14800,3,0.0006123723713915958,Video Converters,0.3333333333333333,3
8990,3,0.0006123723713915958,Radios,0.3333333333333333,3
13715,3,0.0006123723713915958,Mounting Kits,0.3333333333333333,3
15772,6,0.0012247447427831916,Toner Cartridges,0.3333333333333333,4
10947,3,0.0006123723713915958,Screen Protectors,0.3333333333333333,3
13590,3,0.0006123723713915958,Notebook Accessories,0.3333333333333333,3
1080,3,0.0006123723713915958,Interface Cards/Adapters,0.3333333333333333,3
10924,15,0.0030618618569579793,USB Flash Drives,0.3333333333333333,5
13671,3,0.0006123723713915958,Rack Accessories,0.3333333333333333,3
4012,3,0.0006123723713915958,Mobile Phone Cables,0.3333333333333333,3
